,BPA_Load_sim,SDGE_Load_sim,SCE_Load_sim,PGEV_Load_sim,PGEB_Load_sim,Path8_sim,Path3_sim,Path14_sim,Path65_sim,Path66_sim,Path46_sim,Path61_sim,Path42_sim,Path24_sim,Path45_sim
0,9425.201650301336,2724.617516933923,12018.02910678342,7893.069021965164,6441.986682687291,1405.5746380049231,86.29269468121117,562.3123587159664,67.43778228102158,819.2143144763238,6888.053714756673,1713.8569801627139,-363.27611298965655,-42.7284644511837,-9.967086276448839
1,8848.195823346372,2688.7015902502953,11752.147434051878,8021.823571013391,5868.325103906496,1485.3165507788472,392.43710870184543,208.50012248826542,243.72337920857422,806.2789349902856,6572.530795245631,2119.728236038437,-327.1652759389324,-30.919250285960793,10.341490505121591
2,8003.530746246663,2786.438085926608,12528.23416188771,6985.199708969987,5992.798922679162,1383.6345980854394,610.6192204485025,372.25480129706654,630.4248051734787,1790.792748060777,5128.173351006582,1712.6023306159889,-321.7212446510804,-54.49564951834732,67.48027652922701
3,8734.48097666986,2541.9116379861675,12841.926008943441,7586.240001284917,6418.068055571433,1071.4124121764899,506.43673468567624,685.9950206433687,1335.962052179789,1840.938333294631,5060.795266388618,1524.8429206635742,-208.31567232381235,-35.5638670380923,12.617333609675264
4,9702.67545486229,2750.144015835416,13832.385049254219,7995.068725397971,6781.893545234498,1502.8228377305672,444.9477478134007,698.9501322837838,359.5559708154498,1840.7736995221483,5608.6590989623755,930.6552443706184,-345.717334177623,-57.324482233135825,9.744931620760035
5,8745.135260616978,2655.0401209774122,11940.926896139155,7287.770884653656,6084.634761745388,1264.1789045096525,1085.0814118051544,447.8233411849359,519.5034757763168,1267.1818838108663,5287.087341383121,796.1363703481642,-397.6494771558324,-36.656363616763244,93.95860141423378
6,9112.70524117473,2947.263733037625,12626.182185894533,7372.38354077877,5637.514487450856,964.3634455667212,347.98743653943245,580.5691603924644,289.95033255265434,1019.0301406846929,5813.743541983909,784.1577828751714,-391.59761686920274,-37.54171711750518,53.040472665753136
7,9878.737623745874,2954.3463847531502,13803.439992700687,7441.015098914144,6275.520271373088,1540.5914753668278,-191.08589404243756,1013.3680470374004,149.03822264551616,1478.759305339876,4950.104002624004,1111.8609266782983,-310.06990077293744,-53.836303132795976,50.50253892618617
8,9554.786806153823,2990.199209857373,13632.834189920686,7573.357757341671,6558.56245472386,1456.2414771327708,591.3090364663273,549.8218740578744,-421.69200890167576,964.8603655863235,4603.652091889049,1315.9551607067963,-382.49064708113826,-43.238590800666394,66.6839932281747
9,8665.164873587424,3139.8316555392944,14920.224258081162,7980.611331532439,6669.875071372794,1242.7927998300422,1106.9441579270315,478.79159995197597,-386.95300157667873,1337.0106197918199,3715.739801942602,1149.7909915350522,-216.39223278036522,-26.936241853561217,8.222637209419467
10,8221.807640609073,2990.7887431475306,14186.712701793102,8124.793499579421,6695.059671157203,1306.3941349813247,853.2122580603449,528.6989245686431,491.858834294854,1126.5030728557656,4289.726745144589,1898.263772759212,-159.53576484194383,-44.0411793098847,-44.20129989382707
11,8097.928191530439,3101.4741780292998,13261.146015577457,7811.509859502492,5944.462073006721,805.8869215637108,453.8309791066754,822.0600823484567,635.0594336503892,1430.1311353587557,5374.2381447578255,1443.609608812531,-315.22876100853625,-24.796964079666445,55.22134556060822
12,6815.502245565721,2756.523709961633,11690.853804771554,7156.8981314616485,5644.50038874323,895.1276928297683,1106.3422050759336,505.9151169288863,1107.1991035219924,2240.2760874519818,5150.00368678364,1058.6610453144626,-210.60084019718533,-21.173615996696967,137.44622441435763
13,6270.416771532957,2618.486431202367,11190.296160454436,7121.702232866732,5352.48084773133,797.6109682413153,1394.8156464413428,117.76345878229637,1635.9156877698374,2768.3829176823265,5523.416993480841,888.1403632892271,-233.56241666478442,-16.76992847107642,126.38276664197613
14,7148.468107010463,2871.740165429316,12523.830506464868,8056.265454654541,5937.958146737208,1160.7605293047718,621.9959901562677,575.346905738645,1359.271968067825,2818.405910948319,5264.302012766646,938.5842515419522,-361.0405340135824,-32.68855011972387,-2.308578702078087
15,8473.85777881265,2580.4178827362766,11569.210678131185,7317.280822575161,5905.040918214027,1322.724064085696,614.9719860608562,666.3595277720804,518.0280853587147,2330.5954117769325,5300.579017787368,995.5423596887756,-304.0596713052838,-41.38771251989195,4.734972567566565
16,8508.673103061103,2594.8147587174644,11483.902272318293,7287.076521501905,5826.212619597053,1322.808576242991,697.0305866074881,826.2123636548422,701.9416549600926,1443.3218048590145,5227.89970743412,1313.9019830376799,-316.860510906694,-29.426855335681964,-16.50724359419748
17,8421.029447384608,2681.0418587665536,11917.242477594718,6667.230364757682,6043.674830254823,1124.8402808821836,1056.0379456399392,603.9550282498861,580.856354817167,1537.5579538879322,4638.393693225043,1681.294182486705,-359.02887142758584,-2.6585754499011216,-29.79030418488448
18,8132.193409776413,2703.5588108361726,11732.52019201801,6684.169540224142,5408.031961817651,952.7573873063529,814.8007428585694,622.3570764145494,575.5453318270199,2473.816324144935,5221.5168878962095,1116.9748376406387,-335.44634170734537,-45.67731318597902,-0.8694134017678365
19,8086.0031764180585,2664.3284291522773,11120.785019411218,6707.1445142563425,5349.990472520061,1286.2637037384277,601.2284566322371,1037.5398591498783,-78.04781275164873,1633.738669125229,5477.862981110796,1335.8902205627169,-248.59593507215467,-36.513862005703984,-40.82604992613087
20,8001.671395333718,2856.266376217274,11615.269257995367,7320.995515310423,5559.006115235407,451.3021221740769,1169.8097750789243,287.2380317214353,685.426560979661,375.3542089934747,5636.533700907083,1261.5018225598333,-299.8258436108972,-50.42965158673259,83.96110672156607
21,7842.090103753233,3075.733419802731,13617.368777224407,7560.325802689392,5746.244632466611,516.0755678544481,222.32681475348028,495.88425481769946,1407.559743269231,2162.429368830044,5058.245368129027,1151.0672084890393,-356.0684748256788,-29.97526506810891,103.01038977405781
22,7904.244909780138,2975.696625585296,12809.387789288814,6884.322604811114,5657.097920504074,675.7774992808386,341.3834508122146,153.596257089982,1231.3246145430285,2678.0502960355743,4690.941104815202,1035.2674551224586,-207.701132958124,-32.256624083356925,36.2294639161045
23,6514.991563633599,2941.4003338731277,13018.28554737291,7087.106840633864,5583.710536795066,1144.7617830180304,344.49764865998634,356.5180725587835,1617.8846234463974,2895.5514836490806,4704.289395349662,1115.121954325368,-203.4255910756061,-41.33927389807726,25.734610633417653
